titulo_post,descripcion_post,comentario,comentario_clean,comentario_norm,likes,url,fecha,archivo_origen,candidatos_detectados,capa_deteccion
Opiniones divididas en redes sociales,El candidato habló sobre reformas para mejorar la economía nacional.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,2006,https://ejemplo-elecciones-colombia.com/post/1,2026-01-04,dataset_elecciones_2.csv,Juan Manuel Galán,nlp
Opiniones divididas en redes sociales,Las propuestas para jóvenes generan debate en redes.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,712,https://ejemplo-elecciones-colombia.com/post/2,2026-03-28,dataset_elecciones_5.csv,Juan Manuel Galán,modelo_bert
Encuesta electoral muestra cambios,Las nuevas encuestas muestran variaciones en la intención de voto.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4139,https://ejemplo-elecciones-colombia.com/post/3,2026-01-12,dataset_elecciones_5.csv,Gustavo Petro,regex
Opiniones divididas en redes sociales,Miles de personas reaccionan a las declaraciones recientes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,4464,https://ejemplo-elecciones-colombia.com/post/4,2026-04-02,dataset_elecciones_4.csv,Miguel Uribe,nlp
Análisis de intención de voto,Analistas revisan el impacto de las campañas digitales.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,53,https://ejemplo-elecciones-colombia.com/post/5,2026-02-05,dataset_elecciones_2.csv,Claudia López,modelo_bert
Encuesta electoral muestra cambios,Analistas revisan el impacto de las campañas digitales.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,2757,https://ejemplo-elecciones-colombia.com/post/6,2026-01-20,dataset_elecciones_1.csv,Sergio Fajardo,regex
Análisis de intención de voto,El candidato habló sobre reformas para mejorar la economía nacional.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4945,https://ejemplo-elecciones-colombia.com/post/7,2026-02-15,dataset_elecciones_3.csv,Claudia López,regex
Debate presidencial genera polémica,La seguridad y el transporte fueron temas principales en la discusión.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,645,https://ejemplo-elecciones-colombia.com/post/8,2026-03-10,dataset_elecciones_5.csv,Juan Manuel Galán,manual
Análisis de intención de voto,El candidato habló sobre reformas para mejorar la economía nacional.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,4729,https://ejemplo-elecciones-colombia.com/post/9,2026-03-21,dataset_elecciones_2.csv,María Fernanda Cabal,regex
Análisis de intención de voto,El candidato habló sobre reformas para mejorar la economía nacional.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,653,https://ejemplo-elecciones-colombia.com/post/10,2026-01-30,dataset_elecciones_2.csv,Gustavo Petro,regex
Opiniones divididas en redes sociales,Analistas revisan el impacto de las campañas digitales.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,2988,https://ejemplo-elecciones-colombia.com/post/11,2026-02-28,dataset_elecciones_2.csv,Claudia López,manual
Candidato propone reforma económica,Miles de personas reaccionan a las declaraciones recientes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,584,https://ejemplo-elecciones-colombia.com/post/12,2026-03-27,dataset_elecciones_5.csv,Sergio Fajardo,nlp
Encuesta electoral muestra cambios,La seguridad y el transporte fueron temas principales en la discusión.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,3108,https://ejemplo-elecciones-colombia.com/post/13,2026-02-01,dataset_elecciones_3.csv,Miguel Uribe,nlp
Análisis de intención de voto,Analistas revisan el impacto de las campañas digitales.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,458,https://ejemplo-elecciones-colombia.com/post/14,2026-04-18,dataset_elecciones_2.csv,Juan Manuel Galán,regex
Candidato propone reforma económica,Usuarios comentan las propuestas presentadas durante el debate.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,1728,https://ejemplo-elecciones-colombia.com/post/15,2026-02-21,dataset_elecciones_5.csv,María Fernanda Cabal,manual
Discusión sobre seguridad en Bogotá,Miles de personas reaccionan a las declaraciones recientes.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,3758,https://ejemplo-elecciones-colombia.com/post/16,2026-03-05,dataset_elecciones_2.csv,Vicky Dávila,manual
Nuevo plan de empleo juvenil,Las propuestas para jóvenes generan debate en redes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,2152,https://ejemplo-elecciones-colombia.com/post/17,2026-04-06,dataset_elecciones_5.csv,Vicky Dávila,modelo_bert
Encuesta electoral muestra cambios,Las nuevas encuestas muestran variaciones en la intención de voto.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,4174,https://ejemplo-elecciones-colombia.com/post/18,2026-02-16,dataset_elecciones_4.csv,Miguel Uribe,regex
Debate presidencial genera polémica,Las nuevas encuestas muestran variaciones en la intención de voto.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,1310,https://ejemplo-elecciones-colombia.com/post/19,2026-04-21,dataset_elecciones_4.csv,María Fernanda Cabal,regex
Discusión sobre seguridad en Bogotá,Las propuestas para jóvenes generan debate en redes.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,2059,https://ejemplo-elecciones-colombia.com/post/20,2026-03-18,dataset_elecciones_5.csv,Claudia López,regex
Opiniones divididas en redes sociales,Las propuestas para jóvenes generan debate en redes.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,2185,https://ejemplo-elecciones-colombia.com/post/21,2026-01-15,dataset_elecciones_3.csv,Juan Manuel Galán,regex
Discusión sobre seguridad en Bogotá,Usuarios comentan las propuestas presentadas durante el debate.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,2157,https://ejemplo-elecciones-colombia.com/post/22,2026-01-21,dataset_elecciones_5.csv,Sergio Fajardo,nlp
Opiniones divididas en redes sociales,El candidato habló sobre reformas para mejorar la economía nacional.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4158,https://ejemplo-elecciones-colombia.com/post/23,2026-04-22,dataset_elecciones_5.csv,Miguel Uribe,nlp
Encuesta electoral muestra cambios,Las propuestas para jóvenes generan debate en redes.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,4344,https://ejemplo-elecciones-colombia.com/post/24,2026-04-08,dataset_elecciones_1.csv,Vicky Dávila,manual
Candidato propone reforma económica,Analistas revisan el impacto de las campañas digitales.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,2519,https://ejemplo-elecciones-colombia.com/post/25,2026-01-15,dataset_elecciones_2.csv,Claudia López,regex
Debate presidencial genera polémica,Miles de personas reaccionan a las declaraciones recientes.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,3981,https://ejemplo-elecciones-colombia.com/post/26,2026-01-11,dataset_elecciones_1.csv,Vicky Dávila,nlp
Nuevo plan de empleo juvenil,Las nuevas encuestas muestran variaciones en la intención de voto.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,2171,https://ejemplo-elecciones-colombia.com/post/27,2026-03-02,dataset_elecciones_5.csv,Vicky Dávila,modelo_bert
Opiniones divididas en redes sociales,Miles de personas reaccionan a las declaraciones recientes.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,1647,https://ejemplo-elecciones-colombia.com/post/28,2026-04-07,dataset_elecciones_3.csv,Vicky Dávila,modelo_bert
Discusión sobre seguridad en Bogotá,Las propuestas para jóvenes generan debate en redes.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,3698,https://ejemplo-elecciones-colombia.com/post/29,2026-02-17,dataset_elecciones_1.csv,Juan Manuel Galán,nlp
Debate presidencial genera polémica,Las propuestas para jóvenes generan debate en redes.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4537,https://ejemplo-elecciones-colombia.com/post/30,2026-02-13,dataset_elecciones_2.csv,Vicky Dávila,nlp
Opiniones divididas en redes sociales,Usuarios comentan las propuestas presentadas durante el debate.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,1875,https://ejemplo-elecciones-colombia.com/post/31,2026-04-01,dataset_elecciones_1.csv,Gustavo Petro,regex
Nuevo plan de empleo juvenil,Las nuevas encuestas muestran variaciones en la intención de voto.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,2281,https://ejemplo-elecciones-colombia.com/post/32,2026-01-10,dataset_elecciones_4.csv,María Fernanda Cabal,nlp
Nuevo plan de empleo juvenil,Las propuestas para jóvenes generan debate en redes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,3872,https://ejemplo-elecciones-colombia.com/post/33,2026-04-03,dataset_elecciones_2.csv,Miguel Uribe,modelo_bert
Debate presidencial genera polémica,Usuarios comentan las propuestas presentadas durante el debate.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,3531,https://ejemplo-elecciones-colombia.com/post/34,2026-01-25,dataset_elecciones_3.csv,María Fernanda Cabal,modelo_bert
Opiniones divididas en redes sociales,Usuarios comentan las propuestas presentadas durante el debate.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,806,https://ejemplo-elecciones-colombia.com/post/35,2026-04-21,dataset_elecciones_1.csv,Claudia López,modelo_bert
Análisis de intención de voto,Usuarios comentan las propuestas presentadas durante el debate.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,2036,https://ejemplo-elecciones-colombia.com/post/36,2026-04-13,dataset_elecciones_2.csv,Juan Manuel Galán,nlp
Discusión sobre seguridad en Bogotá,Las nuevas encuestas muestran variaciones en la intención de voto.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,2281,https://ejemplo-elecciones-colombia.com/post/37,2026-01-18,dataset_elecciones_4.csv,Miguel Uribe,nlp
Análisis de intención de voto,Analistas revisan el impacto de las campañas digitales.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4508,https://ejemplo-elecciones-colombia.com/post/38,2026-02-26,dataset_elecciones_1.csv,María Fernanda Cabal,regex
Debate presidencial genera polémica,Usuarios comentan las propuestas presentadas durante el debate.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,1936,https://ejemplo-elecciones-colombia.com/post/39,2026-04-18,dataset_elecciones_2.csv,Juan Manuel Galán,modelo_bert
Análisis de intención de voto,La seguridad y el transporte fueron temas principales en la discusión.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,480,https://ejemplo-elecciones-colombia.com/post/40,2026-01-28,dataset_elecciones_2.csv,Claudia López,modelo_bert
Análisis de intención de voto,Analistas revisan el impacto de las campañas digitales.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,3727,https://ejemplo-elecciones-colombia.com/post/41,2026-02-03,dataset_elecciones_3.csv,Gustavo Petro,modelo_bert
Nuevo plan de empleo juvenil,Miles de personas reaccionan a las declaraciones recientes.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,3986,https://ejemplo-elecciones-colombia.com/post/42,2026-04-11,dataset_elecciones_2.csv,Juan Manuel Galán,nlp
Nuevo plan de empleo juvenil,Miles de personas reaccionan a las declaraciones recientes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,4441,https://ejemplo-elecciones-colombia.com/post/43,2026-01-08,dataset_elecciones_1.csv,Sergio Fajardo,manual
Discusión sobre seguridad en Bogotá,Las propuestas para jóvenes generan debate en redes.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4350,https://ejemplo-elecciones-colombia.com/post/44,2026-03-16,dataset_elecciones_2.csv,Gustavo Petro,regex
Encuesta electoral muestra cambios,Usuarios comentan las propuestas presentadas durante el debate.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4874,https://ejemplo-elecciones-colombia.com/post/45,2026-04-19,dataset_elecciones_1.csv,Miguel Uribe,nlp
Nuevo plan de empleo juvenil,Las nuevas encuestas muestran variaciones en la intención de voto.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4742,https://ejemplo-elecciones-colombia.com/post/46,2026-05-01,dataset_elecciones_5.csv,Claudia López,regex
Opiniones divididas en redes sociales,Las propuestas para jóvenes generan debate en redes.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4630,https://ejemplo-elecciones-colombia.com/post/47,2026-02-23,dataset_elecciones_5.csv,Miguel Uribe,manual
Opiniones divididas en redes sociales,El candidato habló sobre reformas para mejorar la economía nacional.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,1955,https://ejemplo-elecciones-colombia.com/post/48,2026-03-27,dataset_elecciones_3.csv,Sergio Fajardo,modelo_bert
Candidato propone reforma económica,La seguridad y el transporte fueron temas principales en la discusión.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,2590,https://ejemplo-elecciones-colombia.com/post/49,2026-03-24,dataset_elecciones_1.csv,Vicky Dávila,regex
Debate presidencial genera polémica,Usuarios comentan las propuestas presentadas durante el debate.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,4404,https://ejemplo-elecciones-colombia.com/post/50,2026-03-14,dataset_elecciones_2.csv,Claudia López,manual
Debate presidencial genera polémica,Las nuevas encuestas muestran variaciones en la intención de voto.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,3027,https://ejemplo-elecciones-colombia.com/post/51,2026-04-23,dataset_elecciones_3.csv,Vicky Dávila,nlp
Opiniones divididas en redes sociales,El candidato habló sobre reformas para mejorar la economía nacional.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,4333,https://ejemplo-elecciones-colombia.com/post/52,2026-03-11,dataset_elecciones_1.csv,Claudia López,manual
Encuesta electoral muestra cambios,El candidato habló sobre reformas para mejorar la economía nacional.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,945,https://ejemplo-elecciones-colombia.com/post/53,2026-05-01,dataset_elecciones_1.csv,Juan Manuel Galán,nlp
Encuesta electoral muestra cambios,Miles de personas reaccionan a las declaraciones recientes.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,2808,https://ejemplo-elecciones-colombia.com/post/54,2026-03-19,dataset_elecciones_2.csv,Sergio Fajardo,manual
Análisis de intención de voto,Usuarios comentan las propuestas presentadas durante el debate.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,756,https://ejemplo-elecciones-colombia.com/post/55,2026-02-02,dataset_elecciones_4.csv,Miguel Uribe,manual
Análisis de intención de voto,Las nuevas encuestas muestran variaciones en la intención de voto.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,2145,https://ejemplo-elecciones-colombia.com/post/56,2026-02-12,dataset_elecciones_2.csv,Gustavo Petro,modelo_bert
Nuevo plan de empleo juvenil,Usuarios comentan las propuestas presentadas durante el debate.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,916,https://ejemplo-elecciones-colombia.com/post/57,2026-02-24,dataset_elecciones_1.csv,Miguel Uribe,nlp
Candidato propone reforma económica,Las propuestas para jóvenes generan debate en redes.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4526,https://ejemplo-elecciones-colombia.com/post/58,2026-04-17,dataset_elecciones_2.csv,Miguel Uribe,modelo_bert
Candidato propone reforma económica,Analistas revisan el impacto de las campañas digitales.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,326,https://ejemplo-elecciones-colombia.com/post/59,2026-02-09,dataset_elecciones_3.csv,Vicky Dávila,nlp
